Score,Cost of Living Index,AQI Value
0.9999999999999998,0.5394896719319563,0.07602339181286549
0.9605232422331229,0.6500607533414338,0.1111111111111111
0.949778089231488,0.6950182260024301,0.2046783625730994
0.9357626722728332,0.7800729040097205,0.03508771929824561
0.9343611305769679,0.5382746051032807,0.14035087719298245
0.9324924083158139,1.0,0.24561403508771928
0.9004905395935527,0.4921020656136087,0.1111111111111111
0.8920812894183601,0.5565006075334142,0.011695906432748537
0.8853071712216769,0.5589307411907655,0.017543859649122806
0.8778322821770614,0.5625759416767921,0.24561403508771928
0.873627657089465,0.6245443499392467,0.07017543859649122
0.8593786498481661,0.4070473876063183,0.19883040935672514
0.8528381219341274,0.5334143377885784,0.43859649122807015
0.8413921980845596,0.5297691373025516,0.05263157894736842
0.8252744685821067,0.5540704738760632,0.23391812865497075
0.8168652184069143,0.5273390036452005,0.2631578947368421
0.8023826208829712,0.5139732685297692,0.27485380116959063
0.7794907731838354,0.44957472660996356,0.7894736842105263
0.7563653352020554,0.4131227217496962,0.1871345029239766
0.7257650081756597,0.26002430133657356,0.9064327485380117
0.725064237327727,0.5455650060753342,0.029239766081871343
0.6904928754963793,0.24665856622114218,0.2573099415204678
0.6886241532352253,0.2430133657351154,0.28654970760233917
0.6743751459939265,0.3219927095990279,0.6140350877192982
0.6741415557112822,0.3948967193195625,0.7836257309941521
0.6694697500583975,0.34629404617253945,0.17543859649122806
0.6617612707311373,0.3353584447144593,0.29239766081871343
0.6568558747956084,0.13851761846901578,0.14035087719298245
0.6552207428170986,0.4289185905224787,0.12280701754385964
0.6479794440551272,0.7035236938031593,0.43274853801169594
0.645877131511329,0.2515188335358445,0.4269005847953216
0.6388694230320018,0.4544349939246659,0.28654970760233917
0.6332632562485399,0.4070473876063183,1.0
0.6330296659658958,0.3390036452004861,0.24561403508771928
0.6292922214435879,0.2673147023086269,0.09941520467836257
0.6274234991824339,0.09234507897934385,0.30409356725146197
0.6215837421163279,0.34386391251518833,0.17543859649122806
0.615977575332866,0.12150668286755772,0.29239766081871343
0.6143424433543565,0.37788578371810444,0.3742690058479532
0.6068675543097406,0.12879708383961114,0.0
0.6031301097874329,0.22721749696233295,0.2631578947368421
0.5975239430039709,0.4362089914945322,0.16374269005847952
0.5933193179163745,0.16767922235722965,0.1286549707602339
0.5916841859378648,0.28311057108140947,0.8421052631578947
0.5886475122634898,0.18590522478736332,0.2807017543859649
0.5727633730436814,0.36816524908869985,0.15789473684210525
0.5617846297594018,0.40340218712029163,0.09941520467836257
0.5610838589114691,0.4264884568651276,0.14035087719298245
0.5606166783461806,0.22235722964763066,0.07602339181286549
0.5601494977808923,0.3317132442284326,0.25146198830409355
0.5421630460172857,0.15674362089914945,0.30409356725146197
0.5302499416024293,0.27825030376670723,0.19298245614035087
0.5267460873627656,0.08019441069258809,0.017543859649122806
0.5160009343611305,0.13608748481166466,0.05847953216374269
0.5150665732305535,0.3195625759416768,0.05847953216374269
0.5057229619247838,0.0,0.8245614035087718
0.5005839757066106,0.14823815309842042,0.07602339181286549
0.4940434477925717,0.22964763061968413,0.30994152046783624
0.47582340574632087,0.0194410692588092,0.22807017543859648
0.4753562251810324,0.25030376670716886,0.36257309941520466
0.45409950946040634,0.32442284325637916,0.18128654970760233
0.4524643774818966,0.2320777642770352,0.2807017543859649
0.4403176827843962,0.22600243013365734,0.2631578947368421
0.432375613174492,0.13608748481166466,0.24561403508771928
0.42863816865218407,0.09234507897934385,0.2046783625730994
0.4202289184769912,0.40340218712029163,0.29239766081871343
0.41508993225881796,0.15309842041312272,0.6783625730994152
0.414155571128241,0.10692588092345079,0.4912280701754385
0.40247605699602884,0.12272174969623328,0.5204678362573099
0.4017752861480961,0.13001215066828675,0.24561403508771928
0.4017752861480961,0.15066828675577154,0.18128654970760233
0.3992057930390096,0.2794653705953827,0.3567251461988304
0.39803784162578837,0.09599027946537059,0.15789473684210525
0.3978042513431439,0.15674362089914945,0.2982456140350877
0.36346647979444047,0.22478736330498172,0.24561403508771928
0.35575800046718054,0.23693803159173749,0.13450292397660818
0.35225414622751705,0.1470230862697448,0.5087719298245614
0.33286615276804477,0.08140947752126365,0.6023391812865497
0.33123102078953504,0.2721749696233293,0.4152046783625731
0.2882504087829947,0.19076549210206561,0.36257309941520466
0.28754963793506194,0.28311057108140947,0.2982456140350877
0.28311142256482125,0.22478736330498172,0.24561403508771928
0.2501751927119831,0.26974483596597815,0.1286549707602339
0.2408315814062134,0.17739975698663424,0.19298245614035087
0.23849567857977116,0.13851761846901578,0.3567251461988304
0.22728334501284753,0.1130012150668287,0.32748538011695905
0.2261153935996263,0.04495747266099637,0.672514619883041
0.2216771782293856,0.12758201701093563,0.7777777777777777
0.20509226816164428,0.19198055893074123,0.23976608187134502
0.1971501985517401,0.08626974483596594,0.14035087719298245
0.16374678813361354,0.12515188335358446,0.2631578947368421
0.15837421163279608,0.026731470230862697,0.7309941520467835
0.12310207895351544,0.029161603888213816,0.8245614035087718
0.10394767577668762,0.06925880923450789,0.05263157894736842
0.04087829946274224,0.22357229647630622,0.15789473684210525
0.0,0.13730255164034022,0.08187134502923976
