Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Cluster
33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,29,54.1,13.8,34.8,52.1,50.2,56.3,Delta Del Tigre,38,Good,1,Good,19,Good,2,Good,38,Good,"(9, 9)"
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,4,76.7,67.2,72.1,74.6,50.4,111.1,Singapore,91,Moderate,1,Good,29,Good,4,Good,91,Moderate,"(9, 0)"
35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,61,39.5,14.6,27.6,43.4,29.6,31.9,Izalco,90,Moderate,2,Good,22,Good,9,Good,90,Moderate,"(7, 6)"
36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,26,56.2,19.2,38.5,57.0,53.3,78.3,Priolo Gargallo,66,Moderate,1,Good,39,Good,2,Good,66,Moderate,"(9, 1)"
37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,34,52.3,20.5,37.0,46.9,44.7,105.0,Manama,188,Unhealthy,2,Good,127,Unhealthy for Sensitive Groups,3,Good,188,Unhealthy,"(6, 7)"
38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,42,46.7,14.8,31.4,46.7,34.5,68.3,Banovce,59,Moderate,1,Good,26,Good,2,Good,59,Moderate,"(2, 3)"
40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,59,40.8,17.1,29.5,36.8,35.0,85.8,Przasnysz,34,Good,1,Good,34,Good,0,Good,20,Good,"(8, 6)"
41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,109,26.4,11.2,19.1,28.4,18.6,39.3,Kegayli,69,Moderate,1,Good,39,Good,0,Good,69,Moderate,"(7, 2)"
42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,41,47.1,15.6,31.9,44.2,43.5,75.5,Anyksciai,47,Good,1,Good,32,Good,0,Good,47,Good,"(8, 7)"
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,102,28.8,8.6,19.1,30.3,20.5,33.7,Plato,67,Moderate,1,Good,16,Good,2,Good,67,Moderate,"(7, 2)"
44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,38,49.9,18.7,34.9,49.0,43.4,80.9,Koper,81,Moderate,1,Good,49,Good,0,Good,81,Moderate,"(6, 5)"
47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,98,29.4,7.6,18.9,29.7,24.8,41.5,Chacabuco,17,Good,0,Good,17,Good,1,Good,17,Good,"(8, 4)"
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,69,37.5,9.9,24.2,36.6,35.5,63.8,Poiana Mare,62,Moderate,1,Good,37,Good,1,Good,62,Moderate,"(0, 7)"
49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,28,54.7,24.8,40.4,49.6,53.2,71.4,Aradippou,45,Good,1,Good,45,Good,0,Good,21,Good,"(9, 8)"
50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,83,32.6,8.6,21.1,34.9,24.5,41.6,Cayambe,39,Good,1,Good,4,Good,2,Good,39,Good,"(9, 3)"
51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,52,42.1,22.6,32.7,34.5,36.4,161.8,Hawalli,161,Unhealthy,3,Good,124,Unhealthy for Sensitive Groups,18,Good,161,Unhealthy,"(6, 7)"
52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,79,34.1,11.2,23.1,40.5,18.3,40.8,Sungai Kolok,65,Moderate,1,Good,34,Good,0,Good,65,Moderate,"(7, 1)"
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,39,49.1,11.2,30.9,42.8,44.9,66.9,Dobele,44,Good,1,Good,34,Good,0,Good,44,Good,"(1, 8)"
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,36,52.0,15.0,34.2,46.4,50.6,80.4,Voru,34,Good,1,Good,34,Good,0,Good,15,Good,"(9, 7)"
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,30,53.9,14.1,34.8,62.0,38.8,32.7,Port Antonio,41,Good,0,Good,26,Good,1,Good,41,Good,"(9, 8)"
57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,74,37.1,10.0,24.1,40.7,26.5,43.2,Pailles,30,Good,0,Good,28,Good,0,Good,30,Good,"(9, 5)"
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,46,46.1,13.4,30.4,53.7,27.8,117.0,Tokorozawa,60,Moderate,1,Good,44,Good,3,Good,60,Moderate,"(4, 5)"
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,84,31.7,12.3,22.4,32.2,28.7,44.7,Talgar,69,Moderate,1,Good,42,Good,0,Good,69,Moderate,"(8, 2)"
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,55,41.7,11.3,27.1,39.8,37.0,63.4,Szeged,50,Good,1,Good,41,Good,1,Good,50,Good,"(2, 4)"
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,113,25.4,9.1,17.6,24.0,17.6,34.6,Horqueta,20,Good,0,Good,20,Good,0,Good,20,Good,"(8, 4)"
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,95,30.0,9.6,20.2,31.5,21.3,34.8,Yanacancha,27,Good,0,Good,6,Good,1,Good,27,Good,"(8, 5)"
